Name,Date_of_birth,Opening_date,Expiry_date,Credit_limit,Statement_balance,Available_credit
Teresa Alaniz,1949-08-17,2008-09-02,2013-09-02,38000.0,29297.69,8702.310000000001
Jewell Granger,1938-07-04,2019-09-08,2024-09-08,19500.0,15628.5,3871.5
Susan Morgan,1927-03-28,2019-04-23,2024-04-23,11500.0,7388.34,4111.66
Ralph Kaauamo,1936-01-17,2021-10-27,2026-10-27,68500.0,32060.39,36439.61
Mark Hall,1960-09-05,2010-10-02,2015-10-02,72000.0,56148.13,15851.870000000003
Thomas Butler,1920-03-18,2016-02-14,2021-02-14,89000.0,51339.63,37660.37
Madlyn Myer,1923-04-11,2011-06-21,2016-06-21,19000.0,10149.16,8850.84
Ben Cole,1918-09-03,2014-06-28,2019-06-28,94500.0,669.5,93830.5
Benjamin Harvey,1916-08-03,2015-12-18,2020-12-18,9000.0,1761.81,7238.1900000000005
Hortensia Alston,1950-09-11,2004-09-09,2009-09-09,86500.0,34311.91,52188.09
Austin Lautman,1982-01-18,2010-03-12,2015-03-12,45000.0,24689.27,20310.73
Maria Greene,1915-04-19,2005-05-07,2010-05-07,30000.0,14650.99,15349.01
Marta Corum,1990-02-07,2018-09-04,2023-09-04,76500.0,42852.76,33647.24
Alexander Gillis,1914-04-15,2012-09-22,2017-09-22,6000.0,2070.03,3929.97
Irving Jacob,1919-11-27,2013-05-22,2018-05-22,60500.0,9810.03,50689.97
Patrick Castrey,1972-05-04,2002-04-03,2007-04-03,57000.0,28342.09,28657.91
Beverly Oneil,1960-04-29,2010-10-31,2015-10-31,77500.0,21384.6,56115.4
Ralph Lawrence,1932-03-18,2009-08-26,2014-08-26,70500.0,632.01,69867.99
Sara Davis,1959-04-30,2005-11-29,2010-11-29,10000.0,2279.22,7720.780000000001
Kenneth Fortenberry,1969-01-14,2006-08-18,2011-08-18,19000.0,18993.96,6.040000000000873
Stacy Weber,1974-09-13,2014-07-21,2019-07-21,500.0,259.7,240.3
Doris Dingle,1988-05-31,2015-04-25,2020-04-25,66000.0,36820.88,29179.120000000003
Maria Brown,1926-06-17,2011-11-16,2016-11-16,65500.0,45736.37,19763.629999999997
Fred Harmon,1945-02-18,2015-07-03,2020-07-03,79000.0,47180.55,31819.449999999997
Anthony Arcangel,1927-01-01,2018-09-05,2023-09-05,15500.0,3221.22,12278.78
Mary Johnson,1966-06-13,2006-10-18,2011-10-18,16000.0,1637.37,14362.630000000001
Jack Craig,1923-07-29,2011-07-05,2016-07-05,99000.0,54506.3,44493.7
Yolanda Mason,1925-02-23,2018-11-30,2023-11-30,53000.0,30702.86,22297.14
Virginia Rodriguez,1959-09-30,2018-03-10,2023-03-10,38000.0,27055.39,10944.61
June Spurgeon,1949-05-25,2016-03-09,2021-03-09,76500.0,40426.49,36073.51
